දිනය : 2026-05-22,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,27,95,70,වැසි ස්වල්පයක්
මඩකලපුව,33,28,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,30,25,95,70,විටින් විට වැසි
ගාල්ල,30,25,95,70,විටින් විට වැසි
යාපනය,31,27,90,70,වැසි ස්වල්පයක්
මහනුවර,29,23,95,75,විටින් විට වැසි
නුවරඑළිය,21,15,95,80,විටින් විට වැසි
රත්නපුරය,30,24,95,80,විටින් විට වැසි
ත්‍රිකුණාමලය,34,27,80,55,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,32,28,85,70,වැසි ස්වල්පයක්
