දින්‍ය : 2026-05-23,,,,,
න්‍ගරය,උෂ්ණත්වය(මස. අංශ්‍ක),,සාමේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,90,70,වැසි ස්වල්පයක්
මඩකලපුව,33,27,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,23,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,31,27,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,27,90,75,වැසි ස්වල්පයක්
මහනුවර,31,24,95,70,විටින් විට වැසි
නුවරඑළිය,22,15,95,75,විටින් විට වැසි
රත්නපුරය,32,24,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,36,27,85,60,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,32,29,85,75,වැසි ස්වල්පයක්
