දින්‍ය : 2026-06-04,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,27,90,55,වැසි ස්වල්පයක්
මඩකලපුව,33,27,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,27,85,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,80,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,30,23,90,60,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,21,15,95,65,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,32,24,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,28,80,50,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,31,28,85,75,වැසි ස්වල්පයක්
