Weather Forecast for Main Cities Date : 11-Jun-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,27,90,65,A few showers
Batticaloa,34,26,75,65,Mainly fair
Colombo,30,26,95,75,Showers or thundershowers at times
Galle,29,26,95,80,Showers or thundershowers at times
Jaffna,32,27,90,75,Mainly fair
Kandy,28,24,90,75,Showers at times
Nuwara-Eliya,19,16,95,80,Showers or thundershowers at times
Ratnapura,31,24,95,75,Showers or thundershowers at times
Trincomalee,32,26,85,55,Mainly fair
Mannar,31,27,85,70,Mainly fair
