"Weather Forecast for Main Cities
Date : 12-Jun-2026",,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,30,27,90,65,A few showers
Batticaloa,34,26,85,60,Showers or thundershowers are likely after 2.00p.m
Colombo,32,26,90,75,Showers or thundershowers at times
Galle,30,26,90,85,Showers or thundershowers at times
Jaffna,32,27,90,75,A few showers
Kandy,27,23,95,70,Showers or thundershowers at times
Nuwara-Eliya,21,15,95,85,Showers or thundershowers at times
Ratnapura,30,24,95,80,Showers or thundershowers at times
Trincomalee,35,26,85,55,Mainly fair
Mannar,31,28,90,75,Mainly fair
