Weather Forecast for Main Cities Date : 22-Jun-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,26,90,60,Mainly fair
Batticaloa,33,26,85,65,Showers or thundershowers are likely after 2.00p.m
Colombo,30,25,90,70,Several spells of showers
Galle,29,25,90,70,Several spells of showers
Jaffna,32,28,80,65,Mainly fair
Kandy,29,20,90,60,A few showers
Nuwara-Eliya,21,13,95,65,Several spells of showers
Ratnapura,30,23,95,65,Several spells of showers
Trincomalee,34,25,75,50,Showers or thundershowers are likely after 2.00p.m
Mannar,31,27,85,70,Showers or thundershowers are likely after 2.00p.m
