දින්‍ය : 2026-07-11,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,34,26,90,60,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මඩකලපුව,36,27,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
තකාළඹ,31,27,90,70,වැසි සරවල්පයක්
ගාල්ල,30,26,90,75,වැසි සරවල්පයක්
යාපනය,33,28,90,60,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මහනුවර,31,24,90,60,වැසි සරවල්පයක්
නුවරඑළිය,22,14,90,75,වැසි සරවල්පයක්
රේනපුරය,33,27,90,70,වැසි සරවල්පයක්
ිකුණාමලය,37,27,80,45,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මන්නාරම,31,28,90,70,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
