දින්‍ය : 2026-07-13,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,85,55,ප්‍රධාන වශතයේ වැසි රහිෙ
මඩකලපුව,35,27,85,60,ප්‍රධාන වශතයේ වැසි රහිෙ
තකාළඹ,31,27,85,70,වැසි සරවල්පයක්
ගාල්ල,30,27,90,85,වැසි වාර කිහිපයක්
යාපනය,33,28,80,65,ප්‍රධාන වශතයේ වැසි රහිෙ
මහනුවර,29,23,90,75,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,33,26,90,70,වැසි වාර කිහිපයක්
ිකුණාමලය,36,27,80,50,ප්‍රධාන වශතයේ වැසි රහිෙ
මේනාරම,31,27,85,75,ප්‍රධාන වශතයේ වැසි රහිෙ
