பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 7 - 1 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,31,25,85,60,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,34,26,85,60,பிரதானமாக சீரான வானிலை
வகாழும்பு,31,27,90,75,சிறிதளவில் மலை வபய்யும்
காலி,30,26,90,80,சிறிதளவில் மலை வபய்யும்
யாழ்ப்பாணம்,31,27,80,70,பிரதானமாக சீரான வானிலை
கண்டி,29,20,90,65,சிறிதளவில் மலை வபய்யும்
நுவவரலியா,20,10,85,60,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,32,23,95,65,சிறிதளவில் மலை வபய்யும்
திருககாணமலை,35,26,80,45,பிரதானமாக சீரான வானிலை
மன்னார்,30,28,85,75,பிரதானமாக சீரான வானிலை
