දින්‍ය : 2026-07-18,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,95,60,ප්‍රධාන වශනයේ වැසි රහිත
මඩකලපුව,34,26,85,65,ප්‍රධාන වශනයේ වැසි රහිත
නකාළඹ,31,27,90,70,වැසි ස්වල්පයක්
ගාල්ල,30,28,90,75,වැසි ස්වල්පයක්
යාපනය,32,27,85,70,ප්‍රධාන වශනයේ වැසි රහිත
මහනුවර,30,22,95,60,වැසි ස්වල්පයක්
නුවරඑළිය,20,13,95,55,වැසි ස්වල්පයක්
රත්නපුරය,33,24,95,60,වැසි ස්වල්පයක්
ිකුණාමලය,36,27,90,45,ප්‍රධාන වශනයේ වැසි රහිත
මේනාරම,30,27,90,75,ප්‍රධාන වශනයේ වැසි රහිත
