Weather Forecast for Main Cities Date : 6-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,26,90,55,A few showers
Batticaloa,33,23,95,75,Showers or thundershowers are likely after 2.00p.m
Colombo,31,27,85,75,Showers or thundershowers
Galle,28,25,90,85,Showers or thundershowers at times
Jaffna,33,28,90,60,Mainly fair
Kandy,26,23,95,80,Showers or thundershowers at times
Nuwara-Eliya,16,14,95,95,Showers or thundershowers at times
Ratnapura,29,23,95,85,Showers or thundershowers at times
Trincomalee,34,25,90,50,Mainly fair
Mannar,32,27,85,70,A few showers
