ළොත,දිසතික්කය,2026-08-10,,,2026-08-11,,,2026-08-12,,
උතුර,මුලතිවු,"ප.ව. 2.00 න් පසු ස්ථාන
ස්වල්පයක වැසි හහෝ
ගිගුරුම් සහිත වැසි ඇති
විය හැක.",,,"ප්‍රධ්‍ාන වශහයන් වැසි
රහිත.",,,"ප්‍රධ්‍ාන වශහයන් වැසි
රහිත.",,
,යාපනය,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,
,,,රහිත,,,රහිත,,,රහිත,
,වවුනියා,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,
,,,රහිත,,,රහිත,,,රහිත,
,මන්නාරම,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,
,,,රහිත,,,රහිත,,,රහිත,
,කිලිහනාච්චි,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,,,ප්‍රධ්‍ාන වශහයන් වැසි,
,,,රහිත,,,රහිත,,,රහිත,
