"பிரதான நகரங்களுக்கான வானிலை
திகதி : 2026-08-12
முன்னறிவித்தை்",,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உசச்,குலைந்த,உசச்,குலைந்த,
அனுராதபுரம்,34,26,85,50,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,33,26,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர ்மலை அை்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
வகாழும்பு,31,27,85,70,அடிக்கடி மலை பபய்யும்
காலி,29,26,95,80,அவ்வப்பபாது மலை பபய்யும்
யாழ்ப்பாணம்,33,27,90,65,பிரதானமாக சீரான வானிலை
கண் டி,29,22,95,75,அடிக்கடி மலை பபய்யும்
நுவவரலியா,19,15,95,80,அடிக்கடி மலை பபய்யும்
இரத்தினபுரி,31,25,95,75,அடிக்கடி மலை பபய்யும்
திருககாணமலை,36,26,85,45,பிரதானமாக சீரான வானிலை
மன்னார்,30,26,85,75,பிரதானமாக சீரான வானிலை
