ළොත,දිසතික්කය,2026-08-13,2026-08-14,,,2026-08-15
උතුර,මුලතිවු,"ප.ව. 2.00 න් පසු
ස්ථාන ස්වල්පයක වැසි
හහෝ ගිගුරුම් සහිත වැසි
ඇති විය හැක.","ප.ව. 2.00 න් පසු ස්ථාන
ස්වල්පයක වැසි හහෝ
ගිගුරුම් සහිත වැසි ඇති
විය හැක.",,,"ප.ව. 2.00 න් පසු ස්ථාන
ස්වල්පයක වැසි හහෝ
ගිගුරුම් සහිත වැසි ඇති
විය හැක."
,යාපනය,"ප්‍රධාන වශහයන් වැසි
රහිත",,ප්‍රධාන වශහයන් වැසි,,"ප්‍රධාන වශහයන් වැසි
රහිත"
,,,,රහිත. විටින් විට හමන,,
,,,,පැ.කි.මී. (30-40) ක,,
,,,,පමණ තරමක තද සුළං,,
,,,,ඇතිවිය හැක.,,
,වවුනියා,"ප්‍රධාන වශහයන් වැසි
රහිත",,ප.ව. 2.00 න් පසු ස්ථාන,,"ප්‍රධාන වශහයන් වැසි
රහිත"
,,,,ස්වල්පයක වැසි හහෝ,,
,,,,ගිගුරුම් සහිත වැසි ඇති,,
,,,,විය හැක.,,
