Weather Forecast for Main Cities Date : 16-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,25,85,50,Mainly fair
Batticaloa,34,26,85,65,Mainly fair
Colombo,32,26,90,65,Several spells of light showers
Galle,30,25,90,75,Several spells of light showers
Jaffna,33,27,80,60,Mainly fair
Kandy,30,22,90,65,A few showers
Nuwara-Eliya,20,14,95,70,Mainly fair
Ratnapura,30,24,95,85,Several spells of showers
Trincomalee,36,26,80,45,Mainly fair
Mannar,30,27,85,75,Mainly fair
