,මාතර,"විටින් විට වැසි ඇතිවේ.
විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,,,,,,
,,,,,,විටින් විට වැසි ඇතිවේ.,,,වැසි වාර කිහිපයක් ඇති,
,,,,,,විටින් විට හමන,,,වේ. විටින් විට හමන,
,,,,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
,හම්බන්වතාට,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,
ඌව,වමාණරාගල,,ප.ව. 2.00 න් පසු,,,ප.ව. 2.00 න් පසු ස්ථාන,,,ප.ව. 2.00 න් පසු ස්ථාන,
,,,ස්ථාන ස්වල්පයක වැසි,,,ස්වල්පයක වැසි වහෝ,,,ස්වල්පයක වැසි වහෝ,
,,,වහෝ ගිගුරුම් සහිත වැසි,,,ගිගුරුම් සහිත වැසි ඇති,,,ගිගුරුම් සහිත වැසි ඇති,
,,,ඇති විය හැක.,,,විය හැක.,,,විය හැක.,
,බදුල්ල,,ප.ව. 2.00 න් පසු,,,ප.ව. 2.00 න් පසු ස්ථාන,,,ප.ව. 2.00 න් පසු ස්ථාන,
,,,ස්ථාන ස්වල්පයක වැසි,,,ස්වල්පයක වැසි වහෝ,,,ස්වල්පයක වැසි වහෝ,
,,,වහෝ ගිගුරුම් සහිත වැසි,,,ගිගුරුම් සහිත වැසි ඇති,,,ගිගුරුම් සහිත වැසි ඇති,
,,,ඇති විය හැක.,,,විය හැක.,,,විය හැක.,
වයඹ,කුරුණෑගල,,විටින් විට වැසි ඇතිවේ.,,,වැසිවාර කිහිපයක්,,,වැසිවාර කිහිපයක්,
,,,විටින් විට හමන,,,ඇතිවිය හැක. විටින් විට,,,ඇතිවිය හැක. විටින් විට,
,,,පැ.කි.මී. (30-40) ක,,,හමන පැ.කි.මී. (30-40),,,හමන පැ.කි.මී. (30-40),
,,,පමණ තරමක තද සුළං,,,ක පමණ තරමක තද,,,ක පමණ තරමක තද,
,,,ඇතිවිය හැක.,,,සුළං ඇතිවිය හැක.,,,සුළං ඇතිවිය හැක.,
,පුත්තලම,,වැසි වාර කිහිපයක්,,,වැසි ස්වල්පයක් ඇතිවිය,,,වැසි ස්වල්පයක් ඇතිවිය,
,,,ඇති වේ. විටින් විට,,,හැක. විටින් විට හමන,,,හැක. විටින් විට හමන,
,,,හමන පැ.කි.මී. (30-40),,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,ක පමණ තරමක තද,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,සුළං ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
මධයම,මහනුවර,,විටින් විට වැසි ඇතිවේ.,,,වැසි වාර කිහිපයක් ඇති,,,වැසි වාර කිහිපයක් ඇති,
,,,විටින් විට හමන,,,වේ. විටින් විට හමන,,,වේ. විටින් විට හමන,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
