දින්‍ය : 2026-08-20,,,,,
න්‍ රය,උෂතණත්වය(ගස. අංශ්‍ක),,සාගේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,26,90,50,ප්‍රධාන වශවයන් වැසි රහිත
මඩකලපුව,35,26,90,60,සවස 4.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,25,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,26,90,80,වැසි වාර කිහිපයක්
යාපනය,33,26,90,60,ප්‍රධාන වශවයන් වැසි රහිත
මහනුවර,30,22,95,60,වැසි වාර කිහිපයක්
නුවරඑළිය,19,15,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,31,24,95,65,වැසි වාර කිහිපයක්
ිකුණාමලය,38,28,75,40,ප්‍රධාන වශවයන් වැසි රහිත
මන්නාරම,31,27,85,70,ප්‍රධාන වශවයන් වැසි රහිත
