,වවුනියා,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,
,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
,මන්නාරම,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,
,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක පමණ,,,පැ.කි.මී. (30-40) ක පමණ,
,,,පමණ තරමක තද සුළං,,,තරමක තද සුළං ඇතිවිය,,,තරමක තද සුළං ඇතිවිය,
,,,ඇතිවිය හැක.,,,හැක.,,,හැක.,
,කිලිවනාච්චි,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,
,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
උතුරු-මැද,අනුරාධපුර,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,
,වපාවලාන්නරුව,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ තරමක තද සුළං
ඇතිවිය හැක.",,
නැවගනහිර,ිකුණාමලය,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,,,ප්‍රධාන වශවයන් වැසි,
,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,,,රහිත. විටින් විට හමන,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,
,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,,,පමණ තරමක තද සුළං,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,
,අම්පාර,"ප.ව. 2.00 න් පසු ස්ථාන
ස්වල්පයක වැසි වහෝ
ගිගුරුම් සහිත වැසි ඇති
විය හැක.",,,"ප.ව. 2.00 න් පසු ස්ථාන
ස්වල්පයක වැසි වහෝ
ගිගුරුම් සහිත වැසි ඇති
විය හැක.",,,"ප්‍රධාන වශවයන් වැසි
රහිත.",,
