දින්‍ය : 2026-08-29,,,,,
න්‍ රය,උ්තණත්වය(ගස. අංශ්‍ක),,සාගප්ක්් ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,26,90,50,ප්‍රධාන වශවයන් වැසි රහිත
මඩකලපුව,35,26,85,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,27,90,70,විටින් විට වැසි
ගාල්ල,29,26,95,85,විටින් විට වැසි
යාපනය,34,28,90,65,ප්‍රධාන වශවයන් වැසි රහිත
මහනුවර,29,23,90,65,විටින් විට වැසි
නුවරඑළිය,19,15,95,85,විටින් විට වැසි
රත්නපුරය,31,25,95,65,විටින් විට වැසි
ිකුණාමලය,38,27,80,40,ප්‍රධාන වශවයන් වැසි රහිත
මන්නාරම,31,27,90,70,ප්‍රධාන වශවයන් වැසි රහිත
