,යාපනය,"ප්‍රධාන වශතයන් වැසි
රහිෙ. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි
රහිෙ. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(30-40) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
,වවුනියා,,ප්‍රධාන වශතයන් වැසි,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
,,,රහිෙ. විටින් විට හමන,,,රහිෙ. විටින් විට හමන,,
,,,පැ.කි.මී. (40-50) ක,,,පැ.කි.මී. (40-50) ක,,
,,,පමණ ෙරමක ෙද සුළං,,,පමණ ෙරමක ෙද සුළං,,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,
,මන්නාරම,,ප්‍රධාන වශතයන් වැසි,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(30-40) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
,,,රහිෙ. විටින් විට හමන,,,රහිෙ. විටින් විට හමන,,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,
,,,පමණ ෙරමක ෙද සුළං,,,පමණ ෙරමක ෙද සුළං,,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,
,කිලිතනාච්චි,,ප්‍රධාන වශතයන් වැසි,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
,,,රහිෙ. විටින් විට හමන,,,රහිෙ. විටින් විට හමන,,
,,,පැ.කි.මී. (40-50) ක,,,පැ.කි.මී. (40-50) ක,,
,,,පමණ ෙරමක ෙද සුළං,,,පමණ ෙරමක ෙද සුළං,,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,
උතුරු-මැද,අනුරාධපුර,"වැසි සරවල්පයක්
ඇතිවිය හැක. විටින් විට
හමන පැ.කි.මී. (40-50)
ක පමණ ෙරමක ෙද
සුළං ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි
රහිෙ. විටින් විට හමන
පැ.කි.මී. (40-50) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
,තපාතලාන්නරුව,"ප්‍රධාන වශතයන් වැසි
රහිෙ. විටින් විට හමන
පැ.කි.මී. (40-50) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි
රහිෙ. විටින් විට හමන
පැ.කි.මී. (40-50) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක."
නැතගනහිර,ිකුණාමලය,,ප්‍රධාන වශතයන් වැසි,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී. (30-
40) ක පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක."
,,,රහිෙ. විටින් විට හමන,,,රහිෙ. විටින් විට හමන,,
,,,පැ.කි.මී. (40-50) ක,,,පැ.කි.මී. (30-40) ක,,
,,,පමණ ෙරමක ෙද සුළං,,,පමණ ෙරමක ෙද සුළං,,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,
