,බදුල්ල,,ප.ව. 2.00 න් පසු සරථාන,,,ප.ව. 2.00 න් පසු සරථාන,,ප්‍රධාන වශතයන් වැසි රහිෙ.,,
,,,සරවල්පයක වැසි තහෝ,,,සරවල්පයක වැසි තහෝ,,,,
,,,ගිගුරුම් සහිෙ වැසි ඇති,,,ගිගුරුම් සහිෙ වැසි ඇති,,,,
,,,විය හැක.,,,විය හැක.,,,,
වයඹ,කුරුණෑගල,,වැසි වාර කිහිපයක්,,"වැසි සරවල්පයක් ඇතිවිය
හැක. විටින් විට හමන
පැ.කි.මී. (30-40) ක
පමණ ෙරමක ෙද සුළං
ඇතිවිය හැක.",,,,වැසි සරවල්පයක් ඇතිවිය,
,,,ඇතිවිය හැක. විටින් විට,,,,,,හැක. විටින් විට හමන,
,,,හමන පැ.කි.මී. (30-40),,,,,,පැ.කි.මී. (30-40) ක පමණ,
,,,ක පමණ ෙරමක ෙද,,,,,,ෙරමක ෙද සුළං ඇතිවිය,
,,,සුළං ඇතිවිය හැක.,,,,,,හැක.,
,පුත්ෙලම,,වැසි සරවල්පයක්,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(30-40) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක.",ප්‍රධාන වශතයන් වැසි රහිෙ.,
,,,ඇතිවිය හැක. විටින් විට,,,රහිෙ. විටින් විට හමන,,,විටින් විට හමන පැ.කි.මී.,
,,,හමන පැ.කි.මී. (30-40),,,පැ.කි.මී. (30-40) ක,,,(30-40) ක පමණ ෙරමක,
,,,ක පමණ ෙරමක ෙද,,,පමණ ෙරමක ෙද සුළං,,,ෙද සුළං ඇතිවිය හැක.,
,,,සුළං ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,,
මධයම,මහනුවර,,විටින් විට වැසි ඇති තේ.,,"වැසි වාර කිහිපයක්
ඇති තේ.",,,"වැසි වාර කිහිපයක් ඇති
තේ.",,
,,,විටින් විට හමන,,,,,,,
,,,පැ.කි.මී. (30-40) ක,,,,,,,
,,,පමණ ෙරමක ෙද සුළං,,,,,,,
,,,ඇතිවිය හැක.,,,,,,,
,නුවරඑළිය,,විටින්විට වැසි ඇති තේ.,,"විටින් විට වැසි ඇති තේ.
විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙද
සුළං ඇතිවිය හැක.",,,"විටින් විට වැසි ඇති තේ.
.විටින් විට හමන පැ.කි.මී.
(40-50) ක පමණ ෙද සුළං
ඇතිවිය හැක.",,
,,,විටින් විට හමන,,,,,,,
,,,පැ.කි.මී. (40-50) ක,,,,,,,
,,,පමණ ෙද සුළං ඇතිවිය,,,,,,,
,,,හැක.,,,,,,,
,මාෙතල්,,ප්‍රධාන වශතයන් වැසි,,,ප්‍රධාන වශතයන් වැසි,,"ප්‍රධාන වශතයන් වැසි රහිෙ.
විටින් විට හමන පැ.කි.මී.
(30-40) ක පමණ ෙරමක
ෙද සුළං ඇතිවිය හැක.",,
,,,රහිෙ විටින් විට හමන,,,රහිෙ. විටින් විට හමන,,,,
,,,පැ.කි.මී. (30-40) ක,,,පැ.කි.මී. (30-40) ක,,,,
,,,පමණ ෙරමක ෙද සුළං,,,පමණ ෙරමක ෙද සුළං,,,,
,,,ඇතිවිය හැක.,,,ඇතිවිය හැක.,,,,
