දින්‍ය : 2026-09-07,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,36,26,90,45,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,33,25,95,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගව්
ගකාළඹ,32,27,85,70,වැසි සරවල්පයක්
ොල්ල,29,27,90,80,වැසි සරවල්පයක්
යාපනය,33,28,80,65,ප්‍රධ්‍ාන වශ්‍ගයන් වැසි රහිත
මහනුවර,32,21,95,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,21,14,95,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගව්
රත්නපුරය,33,25,95,65,වැසි සරවල්පයක්
ිකුණාමලය,37,25,95,50,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගව්
මන්නාරම,31,28,90,75,වැසි සරවල්පයක්
