,සමසේථ ආපදා විසේතරය,,සංඛ්‍යාව
,Island-wide Total Incidents Summary,,
• බලපෑමට ලක් වූ දිස්ත්‍රික් ස්ත්‍ංඛ්‍යාව,,,-
• බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ ස්ත්‍ංඛ්‍යාව,,,-
• බලපෑමට ලක් වූ මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,-
• බලපෑමට ලක් වූ මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,-
• මියයෑම,,,-
• තුවාල ලැබූ ස්ත්‍ංඛ්‍යාව,,,-
• අතුරුදහන්,,,-
• නිවාස්ත්‍ පූර්ණ හානි ස්ත්‍ංඛ්‍යාව,,,-
• නිවාස්ත්‍ අර්ධ හානි ස්ත්‍ංඛ්‍යාව,,,-
• සුරක්ිත මධයස්ත්‍රථාන ස්ත්‍ංඛ්‍යාව,,,-
• සුරක්ිත මධයස්ත්‍රථානයන්ි සිටින මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,-
• සුරක්ිත මධයස්ත්‍රථානයන්ි සිටින මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,-
• ඥාති නිවාස්ත්‍ වල සිටින මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,-
• ඥාති නිවාස්ත්‍ වල සිටින මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,-
