දින්‍ය : 2026-09-13,,,,,
න්‍ෙරය,උෂ්ණත්වය(යස. අංශ්‍ක),,සායප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,37,26,90,40,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,34,26,90,60,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ගකාළඹ,32,26,90,70,වැසි වාර කිහිපයක්
ොල්ල,30,27,85,80,වැසි වාර කිහිපයක්
යාපනය,34,28,85,60,ප්‍රධ්‍ාන වශගයන වැසි රහිත
මහනුවර,31,20,95,60,වැසි වාර කිහිපයක්
නුවරඑළිය,21,12,90,60,වැසි වාර කිහිපයක්
රත්නපුරය,34,24,95,60,වැසි වාර කිහිපයක්
ිකුණාමලය,37,26,90,40,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මනනාරම,32,26,95,75,ප්‍රධ්‍ාන වශගයන වැසි රහිත
