දින්‍ය : 2026-09-14,,,,,
න්‍ගරය,උෂ්ණත්වය(නස. අංශක),,සානප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,25,90,45,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
මඩකලපුව,33,27,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
තකාළඹ,32,26,95,70,වැසි වාර කිහිපයක්
ගාල්ල,30,25,95,80,වැසි වාර කිහිපයක්
යාපනය,33,26,85,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මහනුවර,32,22,95,60,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
නුවරඑළිය,22,13,95,65,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
රත්නපුරය,32,23,95,70,විටින් විට වැසි
ිකුණාමලය,34,25,90,55,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,26,95,75,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
