"பிரதான நகரங்களுக்கான வானிலை
திகதி : 2026-09-14
முன்னறிவித்தை்",,,,,
நகரம்,வவப்பநிலை (0C),,சாரரீ ப்பதன் (%),,வானிலை
,உசச்,குலைந்த,உசச்,குலைந்த,
அனுராதபுரம்,35,25,90,45,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும்"
மட்டக்களப்பு,33,27,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும்"
வகாழும்பு,32,26,95,70,அடிக்கடி மழை பபய்யும்
காலி,30,25,95,80,அடிக்கடி மழை பபய்யும்
யாழ்ப்பாணம்,33,26,85,70,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும் சாத்தியம்"
கண் டி,32,22,95,60,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும்"
நுவவரலியா,22,13,95,65,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும்"
இரத்தினபுரி,32,23,95,70,அவ்வப்பபாது மழை பபய்யும்
திருககாணமலை,34,25,90,55,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும் சாத்தியம்"
மன்னார்,32,26,95,75,"பி.ப. 2.00 மணிக்குப் பின்னர ்மழை அல்லது இடியுடன் கூடிய
மழை பபய்யும்"
