දින්‍ය : 2026-09-16,,,,,
න්‍ රය,උෂ්ණත්වය(ගස. අංශක),,සාගප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,25,95,45,වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
මඩකලපුව,32,25,90,70,ෙවෙ 2.00ේ පසුව වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
නකාළඹ,30,24,90,70,විටිේ විට වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
ගාල්ල,29,25,95,85,විටිේ විට වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
යාපනය,33,25,95,70,ෙවෙ 2.00ේ පසුව වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති විය ැක
ම නුවර,30,22,95,65,විටිේ විට වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
නුවරඑළිය,21,13,95,70,විටිේ විට වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
රත්නපුරය,32,24,95,80,විටිේ විට වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
ත්‍රිකුණාමලය,33,24,90,60,ෙවෙ 2.00ේ පසුව වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
මේනාරම,33,25,95,60,ෙවෙ 2.00ේ පසුව වැසි න ෝ ගිගුරුම් ෙහිත වැසි ඇති නේ
