දින්‍ය : 2026-09-24,,,,,
න්‍ගරය,උෂ්ණත්වය(බස. අෙංශක),,සාබප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,වැසි ස්වල්පයක්
මඩකලපුව,35,26,85,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,29,26,90,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,28,26,90,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,33,28,85,70,වැසි ස්වල්පයක්
මහනුවර,28,23,90,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,16,14,95,90,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,30,25,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,27,80,45,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,28,80,65,වැසි ස්වල්පයක්
