දින්‍ය : 2026-09-25,,,,,
න්‍ගරය,උෂ්ණත්වය(බස. අෙංශ්‍ක),,සාබප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,වැසි ස්වේපයක්
මඩකලපුව,34,26,85,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,29,25,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාේල,29,25,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,90,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,26,24,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,16,15,95,90,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,30,24,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,35,27,80,50,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,31,28,85,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
