දින්‍ය : 2026-09-26,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,26,90,65,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,35,26,85,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,29,25,90,75,වැසි වාර කිහිපයක්
ගාල්ල,29,24,95,80,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
යාපනය,32,27,90,65,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,28,23,90,75,වැසි වාර කිහිපයක්
නුවරඑළිය,18,14,95,85,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,29,24,95,90,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,34,27,85,55,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මන්නාරම,32,27,80,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
